Country,Date,Cases,Deaths,Recovered,Vaccination
United States,2020-06-03,3066519,107990,2958529,60736277
United States,2020-06-04,3088254,108756,2979498,61366748
United States,2020-06-05,3121610,109930,3011680,61997368
United States,2020-06-06,3153045,111037,3042008,62628070
United States,2020-06-07,3184445,112143,3072302,63258787
United States,2020-06-08,3219473,113377,3106096,63889452
United States,2020-06-09,3252123,114526,3137597,64519997
United States,2020-06-10,3279530,115492,3164038,65150356
United States,2020-06-11,3307994,116494,3191500,65780461
United States,2020-06-12,3347831,117897,3229934,66410244
United States,2020-06-13,3374803,118847,3255956,67039637
United States,2020-06-14,3412327,120168,3292159,67668573
United States,2020-06-15,3430620,120812,3309808,68296984
United States,2020-06-16,3470123,122203,3347920,68924802
United States,2020-06-17,3507215,123510,3383705,69551959
United States,2020-06-18,3531045,124349,3406696,70178386
United States,2020-06-19,3562778,125466,3437312,70804015
United States,2020-06-20,3595767,126628,3469139,71428778
United States,2020-06-21,3624155,127628,3496527,72052606
United States,2020-06-22,3656137,128754,3527383,72675431
United States,2020-06-23,3687162,129847,3557315,73297185
United States,2020-06-24,3717255,130906,3586349,73917798
United States,2020-06-25,3754389,132214,3622175,74537202
United States,2020-06-26,3782773,133214,3649559,75155328
United States,2020-06-27,3812932,134276,3678656,75772108
United States,2020-06-28,3845563,135425,3710138,76387472
United States,2020-06-29,3872720,136381,3736339,77001352
United States,2020-06-30,3901662,137401,3764261,77613678
United States,2020-07-01,3932777,138496,3794281,78224383
United States,2020-07-02,3965239,139640,3825599,78833397
United States,2020-07-03,3992099,140585,3851514,79440651
United States,2020-07-04,4024229,141717,3882512,80046075
United States,2020-07-05,4054359,142778,3911581,80649602
United States,2020-07-06,4093183,144145,3949038,81251163
United States,2020-07-07,4106950,144630,3962320,81850687
United States,2020-07-08,4145411,145984,3999427,82448107
United States,2020-07-09,4181481,147255,4034226,83043353
United States,2020-07-10,4205823,148112,4057711,83636357
United States,2020-07-11,4237447,149226,4088221,84227049
United States,2020-07-12,4264697,150185,4114512,84815361
United States,2020-07-13,4291447,151127,4140320,85401224
United States,2020-07-14,4315398,151971,4163427,85984570
United States,2020-07-15,4352531,153278,4199253,86565329
United States,2020-07-16,4378181,154182,4223999,87143433
United States,2020-07-17,4406860,155192,4251668,87718813
United States,2020-07-18,4436477,156235,4280242,88291401
United States,2020-07-19,4472380,157499,4314881,88861128
United States,2020-07-20,4502892,158574,4344318,89427926
United States,2020-07-21,4523827,159311,4364516,89991727
United States,2020-07-22,4549592,160218,4389374,90552462
United States,2020-07-23,4575098,161116,4413982,91110064
United States,2020-07-24,4608249,162284,4445965,91664464
United States,2020-07-25,4640137,163407,4476730,92215594
United States,2020-07-26,4660787,164134,4496653,92763386
United States,2020-07-27,4680930,164843,4516087,93307774
United States,2020-07-28,4718047,166150,4551897,93848688
United States,2020-07-29,4745936,167133,4578803,94386062
United States,2020-07-30,4764089,167772,4596317,94919829
United States,2020-07-31,4796402,168910,4627492,95449920
United States,2020-08-01,4823602,169868,4653734,95976270
United States,2020-08-02,4847966,170726,4677240,96498810
United States,2020-08-03,4871495,171554,4699941,97017475
United States,2020-08-04,4903181,172670,4730511,97532197
United States,2020-08-05,4923988,173403,4750585,98042910
United States,2020-08-06,4945707,174168,4771539,98549548
United States,2020-08-07,4968930,174986,4793944,99052045
United States,2020-08-08,5004767,176248,4828519,99550334
United States,2020-08-09,5027300,177041,4850259,100044350
United States,2020-08-10,5049997,177840,4872157,100534027
United States,2020-08-11,5072474,178632,4893842,101019299
United States,2020-08-12,5096182,179467,4916715,101500102
United States,2020-08-13,5118145,180240,4937905,101976371
United States,2020-08-14,5143820,181144,4962676,102448039
United States,2020-08-15,5161539,181768,4979771,102915044
United States,2020-08-16,5189190,182742,5006448,103377319
United States,2020-08-17,5213427,183596,5029831,103834802
United States,2020-08-18,5239061,184498,5054563,104287428
United States,2020-08-19,5259249,185209,5074040,104735134
United States,2020-08-20,5284100,186085,5098015,105177855
United States,2020-08-21,5307770,186918,5120852,105615528
United States,2020-08-22,5328385,187644,5140741,106048091
United States,2020-08-23,5347759,188326,5159433,106475481
United States,2020-08-24,5367297,189014,5178283,106897635
United States,2020-08-25,5384801,189631,5195170,107314490
United States,2020-08-26,5411017,190554,5220463,107725985
United States,2020-08-27,5434377,191377,5243000,108132058
United States,2020-08-28,5449923,191924,5257999,108532647
United States,2020-08-29,5474832,192801,5282031,108927692
United States,2020-08-30,5482850,193084,5289766,109317131
United States,2020-08-31,5503210,193801,5309409,109700903
United States,2020-09-01,5528703,194699,5334004,110078948
United States,2020-09-02,5545299,195283,5350016,110451207
United States,2020-09-03,5567032,196048,5370984,110817618
United States,2020-09-04,5580595,196526,5384069,111178124
United States,2020-09-05,5595437,197049,5398388,111532664
United States,2020-09-06,5614964,197736,5417228,111881180
United States,2020-09-07,5627654,198183,5429471,112223613
United States,2020-09-08,5645740,198820,5446920,112559906
United States,2020-09-09,5669132,199644,5469488,112890000
United States,2020-09-10,5684925,200200,5484725,113213837
United States,2020-09-11,5699045,200697,5498348,113531361
United States,2020-09-12,5707634,201000,5506634,113842514
United States,2020-09-13,5727310,201693,5525617,114147241
United States,2020-09-14,5739282,202114,5537168,114445484
United States,2020-09-15,5761744,202905,5558839,114737189
United States,2020-09-16,5770100,203200,5566900,115022299
United States,2020-09-17,5782287,203629,5578658,115300760
United States,2020-09-18,5799492,204235,5595257,115572517
United States,2020-09-19,5810448,204620,5605828,115837516
United States,2020-09-20,5830311,205320,5624991,116095702
United States,2020-09-21,5835455,205501,5629954,116347023
United States,2020-09-22,5845398,205851,5639547,116591424
United States,2020-09-23,5854695,206179,5648516,116828853
United States,2020-09-24,5873160,206829,5666331,117059259
United States,2020-09-25,5882487,207157,5675330,117282588
United States,2020-09-26,5890346,207434,5682912,117498789
United States,2020-09-27,5909380,208104,5701276,117707811
United States,2020-09-28,5917659,208396,5709263,117909604
United States,2020-09-29,5924999,208654,5716345,118104116
United States,2020-09-30,5938882,209143,5729739,118291299
United States,2020-10-01,5945464,209375,5736089,118471102
United States,2020-10-02,5949080,209503,5739577,118643477
United States,2020-10-03,5956522,209765,5746757,118808374
United States,2020-10-04,5970450,210255,5760195,118965747
United States,2020-10-05,5976456,210467,5765989,119115546
United States,2020-10-06,5982726,210687,5772039,119257725
United States,2020-10-07,5985997,210803,5775194,119392237
United States,2020-10-08,5997061,211192,5785869,119519036
United States,2020-10-09,5998409,211240,5787169,119638075
United States,2020-10-10,6006042,211508,5794534,119749310
United States,2020-10-11,6016246,211868,5804378,119852695
United States,2020-10-12,6013950,211787,5802163,119948185
United States,2020-10-13,6015215,211832,5803383,120035737
United States,2020-10-14,6020821,212029,5808792,120115308
United States,2020-10-15,6031079,212390,5818689,120186853
United States,2020-10-16,6031709,212412,5819297,120250332
United States,2020-10-17,6033111,212462,5820649,120305700
United States,2020-10-18,6034117,212497,5821620,120352918
United States,2020-10-19,6039262,212678,5826584,120391943
United States,2020-10-20,6036286,212574,5823712,120422736
United States,2020-10-21,6041136,212744,5828392,120445255
United States,2020-10-22,6038315,212645,5825670,120459463
United States,2020-10-23,6037957,212632,5825325,120465319
United States,2020-10-24,6038591,212655,5825936,120462785
United States,2020-10-25,6038810,212662,5826148,120451823
United States,2020-10-26,6038818,212663,5826155,120432396
United States,2020-10-27,6038260,212643,5825617,120404466
United States,2020-10-28,6023346,212118,5811228,120367997
United States,2020-10-29,6030526,212371,5818155,120322954
United States,2020-10-30,6029117,212321,5816796,120269301
United States,2020-10-31,6032176,212429,5819747,120207003
United States,2020-11-01,6019966,211999,5807967,120136026
United States,2020-11-02,6019990,212000,5807990,120056337
United States,2020-11-03,6019873,211996,5807877,119967901
United States,2020-11-04,6005612,211493,5794119,119870687
United States,2020-11-05,6005854,211502,5794352,119764662
United States,2020-11-06,5996044,211156,5784888,119649796
United States,2020-11-07,5990735,210969,5779766,119526056
United States,2020-11-08,5983008,210697,5772311,119393414
United States,2020-11-09,5976057,210453,5765604,119251838
United States,2020-11-10,5979853,210586,5769267,119101301
United States,2020-11-11,5965553,210083,5755470,118941772
United States,2020-11-12,5957868,209812,5748056,118773225
United States,2020-11-13,5946861,209424,5737437,118595631
United States,2020-11-14,5930472,208847,5721625,118408965
United States,2020-11-15,5927197,208732,5718465,118213199
United States,2020-11-16,5919086,208446,5710640,118008308
United States,2020-11-17,5901897,207841,5694056,117794267
United States,2020-11-18,5896645,207656,5688989,117571052
United States,2020-11-19,5884048,207212,5676836,117338638
United States,2020-11-20,5875653,206917,5668736,117097002
United States,2020-11-21,5855484,206206,5649278,116846122
United States,2020-11-22,5840113,205665,5634448,116585976
United States,2020-11-23,5828965,205273,5623692,116316542
United States,2020-11-24,5820863,204987,5615876,116037799
United States,2020-11-25,5795542,204096,5591446,115749727
United States,2020-11-26,5779763,203540,5576223,115452307
United States,2020-11-27,5771451,203247,5568204,115145519
United States,2020-11-28,5753768,202624,5551144,114829346
United States,2020-11-29,5738865,202100,5536765,114503769
United States,2020-11-30,5725103,201615,5523488,114168772
United States,2020-12-01,5702808,200830,5501978,113824337
United States,2020-12-02,5680628,200049,5480579,113470450
United States,2020-12-03,5675312,199861,5475451,113107095
United States,2020-12-04,5646486,198846,5447640,112734257
United States,2020-12-05,5627049,198162,5428887,112351923
United States,2020-12-06,5614499,197720,5416779,111960079
United States,2020-12-07,5589389,196836,5392553,111558712
United States,2020-12-08,5569790,196145,5373645,111147812
United States,2020-12-09,5550459,195465,5354994,110727366
United States,2020-12-10,5530831,194773,5336058,110297363
United States,2020-12-11,5504045,193830,5310215,109857794
United States,2020-12-12,5487606,193251,5294355,109408650
United States,2020-12-13,5452451,192013,5260438,108949921
United States,2020-12-14,5438502,191522,5246980,108481600
United States,2020-12-15,5409195,190490,5218705,108003679
United States,2020-12-16,5392023,189885,5202138,107516151
United States,2020-12-17,5362976,188862,5174114,107019011
United States,2020-12-18,5334823,187871,5146952,106512253
United States,2020-12-19,5313307,187113,5126194,105995873
United States,2020-12-20,5287652,186210,5101442,105469865
United States,2020-12-21,5259920,185233,5074687,104934228
United States,2020-12-22,5227006,184074,5042932,104388957
United States,2020-12-23,5200949,183156,5017793,103834052
United States,2020-12-24,5174192,182214,4991978,103269511
United States,2020-12-25,5145242,181195,4964047,102695332
United States,2020-12-26,5118552,180255,4938297,102111517
United States,2020-12-27,5079610,178883,4900727,101518065
United States,2020-12-28,5057114,178091,4879023,100914979
United States,2020-12-29,5024293,176935,4847358,100302259
United States,2020-12-30,4991242,175771,4815471,99679909
United States,2020-12-31,4959843,174666,4785177,99047933
United States,2021-01-01,4929393,173593,4755800,98406333
United States,2021-01-02,4885505,172048,4713457,97755116
United States,2021-01-03,4861944,171218,4690726,97094286
United States,2021-01-04,4827726,170013,4657713,96423849
United States,2021-01-05,4798269,168976,4629293,95743813
United States,2021-01-06,4759240,167601,4591639,95054185
United States,2021-01-07,4726117,166435,4559682,94354973
United States,2021-01-08,4696377,165387,4530990,93646186
United States,2021-01-09,4658528,164054,4494474,92927833
United States,2021-01-10,4621711,162758,4458953,92199925
United States,2021-01-11,4580080,161292,4418788,91462473
United States,2021-01-12,4546065,160094,4385971,90715489
United States,2021-01-13,4505552,158667,4346885,89958984
United States,2021-01-14,4467259,157319,4309940,89192971
United States,2021-01-15,4430373,156020,4274353,88417466
United States,2021-01-16,4387675,154516,4233159,87632481
United States,2021-01-17,4354754,153357,4201397,86838032
United States,2021-01-18,4308971,151744,4157227,86034135
United States,2021-01-19,4270765,150399,4120366,85220807
United States,2021-01-20,4232284,149044,4083240,84398064
United States,2021-01-21,4189158,147525,4041633,83565925
United States,2021-01-22,4138888,145755,3993133,82724407
United States,2021-01-23,4102365,144469,3957896,81873531
United States,2021-01-24,4060583,142997,3917586,81013317
United States,2021-01-25,4017128,141467,3875661,80143784
United States,2021-01-26,3966435,139682,3826753,79264955
United States,2021-01-27,3923425,138167,3785258,78376852
United States,2021-01-28,3883910,136775,3747135,77479497
United States,2021-01-29,3832654,134970,3697684,76572913
United States,2021-01-30,3788280,133408,3654872,75657126
United States,2021-01-31,3748127,131994,3616133,74732159
United States,2021-02-01,3695933,130156,3565777,73798038
United States,2021-02-02,3646411,128412,3517999,72854790
United States,2021-02-03,3598182,126713,3471469,71902442
United States,2021-02-04,3554005,125157,3428848,70941021
United States,2021-02-05,3499855,123251,3376604,69970555
United States,2021-02-06,3454364,121649,3332715,68991074
United States,2021-02-07,3406751,119972,3286779,68002607
United States,2021-02-08,3359966,118324,3241642,67005185
United States,2021-02-09,3307447,116475,3190972,65998838
United States,2021-02-10,3252002,114522,3137480,64983599
United States,2021-02-11,3206951,112936,3094015,63959500
United States,2021-02-12,3150303,110941,3039362,62926574
United States,2021-02-13,3095009,108993,2986016,61884855
United States,2021-02-14,3045897,107264,2938633,60834377
United States,2021-02-15,2998158,105583,2892575,59775177
United States,2021-02-16,2940442,103550,2836892,58707289
United States,2021-02-17,2886002,101633,2784369,57630750
United States,2021-02-18,2837015,99908,2737107,56545597
United States,2021-02-19,2772064,97621,2674443,55451870
United States,2021-02-20,2717327,95693,2621634,54349605
United States,2021-02-21,2660589,93695,2566894,53238843
United States,2021-02-22,2611104,91952,2519152,52119623
United States,2021-02-23,2553935,89939,2463996,50991986
United States,2021-02-24,2501585,88095,2413490,49855974
United States,2021-02-25,2439962,85925,2354037,48711628
United States,2021-02-26,2380082,83817,2296265,47558991
United States,2021-02-27,2323278,81816,2241462,46398107
United States,2021-02-28,2265104,79767,2185337,45229019
United States,2021-03-01,2200216,77482,2122734,44051772
United States,2021-03-02,2155350,75902,2079448,42866412
United States,2021-03-03,2088327,73542,2014785,41672985
United States,2021-03-04,2027127,71387,1955740,40471537
United States,2021-03-05,1967896,69301,1898595,39262115
United States,2021-03-06,1907240,67165,1840075,38044768
United States,2021-03-07,1843066,64905,1778161,36819545
United States,2021-03-08,1779690,62673,1717017,35586494
United States,2021-03-09,1721623,60628,1660995,34345666
United States,2021-03-10,1658389,58401,1599988,33097111
United States,2021-03-11,1591522,56047,1535475,31840880
United States,2021-03-12,1535610,54078,1481532,30577026
United States,2021-03-13,1468215,51704,1416511,29305601
United States,2021-03-14,1405617,49500,1356117,28026658
United States,2021-03-15,1343392,47308,1296084,26740251
United States,2021-03-16,1274071,44867,1229204,25446434
United States,2021-03-17,1209894,42607,1167287,24145263
United States,2021-03-18,1146008,40357,1105651,22836794
United States,2021-03-19,1075049,37858,1037191,21521083
United States,2021-03-20,1011389,35617,975772,20198186
United States,2021-03-21,945032,33280,911752,18868162
United States,2021-03-22,874505,30796,843709,17531068
United States,2021-03-23,818044,28808,789236,16186965
United States,2021-03-24,738071,25991,712080,14835910
United States,2021-03-25,670444,23610,646834,13477965
United States,2021-03-26,610763,21508,589255,12113189
United States,2021-03-27,540107,19020,521087,10741645
United States,2021-03-28,465349,16387,448962,9363395
United States,2021-03-29,401423,14136,387287,7978500
United States,2021-03-30,334610,11783,322827,6587025
United States,2021-03-31,259665,9144,250521,5189032
United States,2021-04-01,198058,6974,191084,3784587
United States,2021-04-02,113122,3983,109139,2373753
United States,2021-04-03,50183,1767,48416,956598
United States,2021-04-04,19506,686,18820,466813
United States,2021-04-05,91981,3239,88742,1896414
United States,2021-04-06,167477,5897,161580,3332137
United States,2021-04-07,239934,8449,231485,4773914
United States,2021-04-08,309972,10915,299057,6221677
United States,2021-04-09,381507,13435,368072,7675356
United States,2021-04-10,455270,16032,439238,9134883
United States,2021-04-11,527167,18564,508603,10600187
United States,2021-04-12,607612,21397,586215,12071197
United States,2021-04-13,678904,23908,654996,13547841
United States,2021-04-14,755450,26603,728847,15030049
United States,2021-04-15,828079,29161,798918,16517748
United States,2021-04-16,898173,31630,866543,18010864
United States,2021-04-17,976175,34377,941798,19509324
United States,2021-04-18,1043165,36736,1006429,21013055
United States,2021-04-19,1126675,39677,1086998,22521981
United States,2021-04-20,1202894,42361,1160533,24036028
United States,2021-04-21,1278768,45033,1233735,25555120
United States,2021-04-22,1357506,47805,1309701,27079180
United States,2021-04-23,1432106,50433,1381673,28608132
United States,2021-04-24,1504941,52998,1451943,30141900
United States,2021-04-25,1585293,55827,1529466,31680404
United States,2021-04-26,1665524,58653,1606871,33223568
United States,2021-04-27,1743416,61396,1682020,34771311
United States,2021-04-28,1819525,64076,1755449,36323556
United States,2021-04-29,1895691,66758,1828933,37880222
United States,2021-04-30,1970103,69379,1900724,39441228
United States,2021-05-01,2056820,72433,1984387,41006495
United States,2021-05-02,2131980,75079,2056901,42575941
United States,2021-05-03,2209185,77798,2131387,44149485
United States,2021-05-04,2294675,80809,2213866,45727044
United States,2021-05-05,2370503,83479,2287024,47308535
United States,2021-05-06,2449324,86255,2363069,48893876
United States,2021-05-07,2529225,89069,2440156,50482983
United States,2021-05-08,2605656,91760,2513896,52075771
United States,2021-05-09,2686703,94615,2592088,53672157
United States,2021-05-10,2768064,97480,2670584,55272055
United States,2021-05-11,2845035,100190,2744845,56875381
United States,2021-05-12,2921140,102870,2818270,58482048
United States,2021-05-13,3001971,105717,2896254,60091969
United States,2021-05-14,3094473,108975,2985498,61705059
United States,2021-05-15,3167064,111531,3055533,63321230
United States,2021-05-16,3250577,114472,3136105,64940394
United States,2021-05-17,3330632,117291,3213341,66562464
United States,2021-05-18,3413763,120219,3293544,68187351
United States,2021-05-19,3493489,123026,3370463,69814967
United States,2021-05-20,3574943,125895,3449048,71445221
United States,2021-05-21,3659052,128857,3530195,73078025
United States,2021-05-22,3741917,131775,3610142,74713289
United States,2021-05-23,3822367,134608,3687759,76350922
United States,2021-05-24,3902152,137418,3764734,77990833
United States,2021-05-25,3983099,140268,3842831,79632931
United States,2021-05-26,4064514,143136,3921378,81277124
United States,2021-05-27,4151332,146193,4005139,82923322
United States,2021-05-28,4231209,149006,4082203,84571430
United States,2021-05-29,4311505,151834,4159671,86221358
United States,2021-05-30,4393460,154720,4238740,87873011
United States,2021-05-31,4480222,157775,4322447,89526297
United States,2021-06-01,4563543,160709,4402834,91181121
United States,2021-06-02,4645036,163579,4481457,92837390
United States,2021-06-03,4732397,166656,4565741,94495009
United States,2021-06-04,4812218,169467,4642751,96153883
United States,2021-06-05,4892155,172282,4719873,97813918
United States,2021-06-06,4975589,175220,4800369,99475018
United States,2021-06-07,5061751,178254,4883497,101137088
United States,2021-06-08,5143322,181127,4962195,102800031
United States,2021-06-09,5229996,184179,5045817,104463751
United States,2021-06-10,5308195,186933,5121262,106128152
United States,2021-06-11,5394066,189957,5204109,107793136
United States,2021-06-12,5478031,192914,5285117,109458608
United States,2021-06-13,5561643,195859,5365784,111124468
United States,2021-06-14,5643995,198759,5445236,112790619
United States,2021-06-15,5728620,201739,5526881,114456964
United States,2021-06-16,5808313,204545,5603768,116123404
United States,2021-06-17,5895154,207603,5687551,117789840
United States,2021-06-18,5971920,210307,5761613,119456174
United States,2021-06-19,6055680,213257,5842423,121122307
United States,2021-06-20,6146802,216466,5930336,122788140
United States,2021-06-21,6226920,219287,6007633,124453572
United States,2021-06-22,6312579,222304,6090275,126118504
United States,2021-06-23,6394751,225197,6169554,127782837
United States,2021-06-24,6470250,227856,6242394,129446470
United States,2021-06-25,6561063,231054,6330009,131109302
United States,2021-06-26,6641974,233904,6408070,132771233
United States,2021-06-27,6724445,236808,6487637,134432162
United States,2021-06-28,6812564,239911,6572653,136091989
United States,2021-06-29,6895036,242815,6652221,137750611
United States,2021-06-30,6979086,245775,6733311,139407928
United States,2021-07-01,7060843,248654,6812189,141063838
United States,2021-07-02,7150085,251797,6898288,142718239
United States,2021-07-03,7221508,254312,6967196,144371029
United States,2021-07-04,7299084,257044,7042040,146022106
United States,2021-07-05,7387876,260171,7127705,147671368
United States,2021-07-06,7475438,263255,7212183,149318713
United States,2021-07-07,7555161,266062,7289099,150964038
United States,2021-07-08,7636729,268935,7367794,152607239
United States,2021-07-09,7720642,271890,7448752,154248216
United States,2021-07-10,7796374,274557,7521817,155886863
United States,2021-07-11,7878364,277444,7600920,157523079
United States,2021-07-12,7966568,280550,7686018,159156761
United States,2021-07-13,8041908,283204,7758704,160787804
United States,2021-07-14,8120682,285978,7834704,162416106
United States,2021-07-15,8200722,288796,7911926,164041563
United States,2021-07-16,8278671,291541,7987130,165664072
United States,2021-07-17,8372124,294833,8077291,167283528
United States,2021-07-18,8440614,297244,8143370,168899828
United States,2021-07-19,8531795,300456,8231339,170512869
United States,2021-07-20,8613075,303318,8309757,172122546
United States,2021-07-21,8690349,306039,8384310,173728756
